# Assembly Part List incl. Component Properties
#
# Date = 2020/06/05 10:01:49
# Job Name =C:\CAx\Prj\ZUKEN\41538289_AB_ADC418AI12\job\PNL\Panel01\Panel.mdgn
# Units = millimeters
# Decimal Digits =3
#
# PCB/PNL Type;Offset-X;Offset-Y;Rotation
#
# NA;0.000;0.000;0.000
# board1;0.000;0.000;0.000
#
#
# Reference;Part_Name;Value;Tolerance;Pos_Tolerance;Neg_Tolerance;Geometry;Rated_Voltage;Technology;Placement_Side;Rotation;Position-X;Positon-Y;Pin_Count;Component_Height_on_Placement_Side;Part_Families;Mounting_Type;Footprint_Specification;Package_Type;Function_Code;EMC_Code;Board# on Panel;Part_Name_SV;Part_Name_CAS;Exclude_from_SAP_BOM;Multipitch_Pair;
C13019;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;151.300;80.200;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C13020;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;154.600;80.200;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C13021;A2C02318800;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;158.450;79.250;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0231880000;A2C0231880000;NA;NA;
C14000;A2C02318700;47n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;2.600;57.945;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PMIC_SUC_VR5510;NO;board1;A2C0231870000;A2C0231870000;NA;NA;
C14001;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;150.575;32.875;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_AMUX_SUC_1;NO;board1;A2C0311880000;A2C0311880000;NA;NA;
C14002;A2C01578700;680p;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;270.000;1.500;48.175;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PMIC_SUC_VR5510;NO;board1;A2C0157870000;A2C0157870000;NA;NA;
C14003;A2C01578700;680p;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;-1.675;56.975;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PMIC_SUC_VR5510;NO;board1;A2C0157870000;A2C0157870000;NA;NA;
C14004;A2C03730900;22u;NA;10%;10%;1210_h2700_c01a;16V;SBU08_RR_SM075_Cu35;A_SIDE;270.000;7.550;59.500;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PMIC_SUC_VR5510;NO;board1;A2C0373090000;A2C0373090000;NA;NA;
C14005;A2C03730900;22u;NA;10%;10%;1210_h2700_c01a;16V;SBU08_RR_SM075_Cu35;A_SIDE;270.000;10.800;59.500;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PMIC_SUC_VR5510;NO;board1;A2C0373090000;A2C0373090000;NA;NA;
C14006;A2C02317700;100n;NA;10%;10%;0402_06_m01a;16V;SBU08_RR_SM075_Cu35;A_SIDE;270.000;14.450;64.975;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PMIC_SUC_VR5510;NO;board1;A2C0231770000;A2C0231770000;NA;NA;
C14007;A2C03730900;22u;NA;10%;10%;1210_h2700_c01a;16V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;7.550;65.650;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PMIC_SUC_VR5510;NO;board1;A2C0373090000;A2C0373090000;NA;NA;
C14008;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;13.950;67.250;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PMIC_SUC_VR5510;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C14009;A2C02318800;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;11.675;67.995;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PMIC_SUC_VR5510;NO;board1;A2C0231880000;A2C0231880000;NA;NA;
C14010;A2C02318800;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;1.025;64.840;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PMIC_SUC_VR5510;NO;board1;A2C0231880000;A2C0231880000;NA;NA;
C14011;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;3.800;64.300;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PMIC_SUC_VR5510;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C14012;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;7.025;64.300;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PMIC_SUC_VR5510;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C14013;A2C02318600;22n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;0.000;4.930;58.900;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PMIC_SUC_VR5510;NO;board1;A2C0231860000;A2C0231860000;NA;NA;
C14014;A2C02317900;1n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;4.425;37.900;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PMIC_SUC_VR5510;NO;board1;A2C0231790000;A2C0231790000;NA;NA;
