Creation date of BOM:;26/08/2021 12:42:46;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Design name:;ADC418AI12;;;;;;;;;;;;;;;;;;;;
Destination name:;ADC418AI12_DDR8Gb;;;;;;;;;;;;;;;;;;;;
Schematic Doc No.:;A2.C775-6410.7_PCB_BA0_AA_SCMVA;;;;;;;;;;;;;;;;;;;;
Reference;CompID;ReusedComp;ECDM Nomenclature;Value;tolerance;ud_PosTolerance;ud_NegTolerance;Part Name;Part Number NPP;Part Number CSE;Part Number Global;packageName;Variation;VariationItem;Module name;Module reference;Module;Module mode;Module number;Function Code;Component Group
C13019; .cmp86;;C CER,X7R,4.7uF,10%,50V,1210,-,SOFT TERMINATION,SMD SOLDERIN;4.7u;;10%;10%;A2C02933200;A2C0293320000;A2C0293320000;A2C0293320000;1210_30_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;TV
C13021; .cmp75;;C CER,X7R,100nF,10%,50V,0603,-,SOFT TERMINATION,SMD SOLDERIN;100n;;10%;10%;A2C02916000;A2C0291600000;A2C0291600000;A2C0291600000;0603_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;
C14000; .cmp2024;;C CER,X7R,47nF,10%,50V,0603,-,STANDARD,SMD SOLDERING;47n;;10%;10%;A2C02318700;A2C0231870000;A2C0231870000;A2C0231870000;0603_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14001; .cmp1043;;C CER,X7R,100nF,10%,16V,0402,-,SOFT TERMINATION;100n;;10%;10%;A2C01479600;A2C0147960000;A2C0147960000;A2C0147960000;0402_06_m01a;;;;;;;;PS_AMUX_SUC_1;
C14002; .cmp2281;;C CER,X7R,680pF,10%,50V,0402,-,STANDARD;680p;;10%;10%;A2C01578700;A2C0157870000;A2C0157870000;A2C0157870000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14004; .cmp2123;;C CER,X7R,4.7uF,10%,50V,1210,-,SOFT TERMINATION,SMD SOLDERIN;4.7u;;10%;10%;A2C02933200;A2C0293320000;A2C0293320000;A2C0293320000;1210_30_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14005; .cmp2143;;C CER,X7R,4.7uF,10%,50V,1210,-,SOFT TERMINATION,SMD SOLDERIN;4.7u;;10%;10%;A2C02933200;A2C0293320000;A2C0293320000;A2C0293320000;1210_30_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14006; .cmp2072;;C CER,X7R,100nF,10%,16V,0402,-,SOFT TERMINATION;100n;;10%;10%;A2C01479600;A2C0147960000;A2C0147960000;A2C0147960000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14008; .cmp2272;;C CER,X7S,0.00001 F,10%,50 V,EC_1210,,SOFT TERMINATION,SMD S;10u;;10%;10%;AAA2093820000;AAA2093820000;AAA2093820000;AAA2093820000;1210_h2800_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14009; .cmp2215;;C CER,X7R,100nF,10%,50V,0603,-,SOFT TERMINATION,SMD SOLDERIN;100n;;10%;10%;A2C02916000;A2C0291600000;A2C0291600000;A2C0291600000;0603_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
