Creation date of BOM:;26/08/2021 12:42:46;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Design name:;ADC418AI12;;;;;;;;;;;;;;;;;;;;
Destination name:;ADC418AI12_DDR8Gb;;;;;;;;;;;;;;;;;;;;
Schematic Doc No.:;A2.C775-6410.7_PCB_BA0_AA_SCMVA;;;;;;;;;;;;;;;;;;;;
Reference;CompID;ReusedComp;ECDM Nomenclature;Value;tolerance;ud_PosTolerance;ud_NegTolerance;Part Name;Part Number NPP;Part Number CSE;Part Number Global;packageName;Variation;VariationItem;Module name;Module reference;Module;Module mode;Module number;Function Code;Component Group
R22017; .cmp1533;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22019; .cmp1433;;R LIN,47.0 ohm,1.0 %,100.0 ppm/K,0.063 W,EC_0402,SMD SOLDERI;47;1%;;;A2C04594900;A2C0459490000;A2C0459490000;A2C0459490000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22020; .cmp1434;;R LIN,47.0 ohm,1.0 %,100.0 ppm/K,0.063 W,EC_0402,SMD SOLDERI;47;1%;;;A2C04594900;A2C0459490000;A2C0459490000;A2C0459490000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22021; .cmp1435;;R LIN,47.0 ohm,1.0 %,100.0 ppm/K,0.063 W,EC_0402,SMD SOLDERI;47;1%;;;A2C04594900;A2C0459490000;A2C0459490000;A2C0459490000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22024; .cmp1326;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22025; .cmp1072;;R LIN,24K,1%,TK100,63mW,0402;24k;1%;;;A2C40003480;A2C4000348000;A2C4000348000;A2C4000348000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22026; .cmp1067;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22027; .cmp1398;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22028; .cmp1230;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22029; .cmp1116;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22030; .cmp1148;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22031; .cmp1152;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22032; .cmp1109;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22033; .cmp1108;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22034; .cmp1132;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22035; .cmp1136;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22037; .cmp1111;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22047; .cmp1118;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22049; .cmp1162;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22050; .cmp1140;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22053; .cmp1467;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22054; .cmp1468;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22055; .cmp1458;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22056; .cmp1459;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22060; .cmp652;;R JUMP,0.05 ohm,0 W,1.0 A,EC_0402,SMD SOLDERING;50m;;;;A2C04224200;A2C0422420000;A2C0422420000;A2C0422420000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22062; .cmp1211;;R LIN,10R,5%,TK200,63mW,0402;10;5%;;;A2C02358300;A2C0235830000;A2C0235830000;A2C0235830000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22063; .cmp1287;;R LIN,1K,0.5%,TK100,400mW,0805,SMD SOLDERING;1k;0.5%;;;A2C03319200;A2C0331920000;A2C0331920000;A2C0331920000;0805_075_m01a;;;;;;;;COM_ETH_AFE_1000BASET1;
R22064; .cmp1209;;R LIN,10R,5%,TK200,63mW,0402;10;5%;;;A2C02358300;A2C0235830000;A2C0235830000;A2C0235830000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22065; .cmp1204;;R LIN,10R,5%,TK200,63mW,0402;10;5%;;;A2C02358300;A2C0235830000;A2C0235830000;A2C0235830000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22066; .cmp1210;;R LIN,10R,5%,TK200,63mW,0402;10;5%;;;A2C02358300;A2C0235830000;A2C0235830000;A2C0235830000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22067; .cmp1198;;R LIN,10R,5%,TK200,63mW,0402;10;5%;;;A2C02358300;A2C0235830000;A2C0235830000;A2C0235830000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22068; .cmp1199;;R LIN,10R,5%,TK200,63mW,0402;10;5%;;;A2C02358300;A2C0235830000;A2C0235830000;A2C0235830000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22070; .cmp1490;;R LIN,47.0 ohm,1.0 %,100.0 ppm/K,0.063 W,EC_0402,SMD SOLDERI;47;1%;;;A2C04594900;A2C0459490000;A2C0459490000;A2C0459490000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22071; .cmp1246;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22072; .cmp1223;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22073; .cmp1491;;R LIN,47.0 ohm,1.0 %,100.0 ppm/K,0.063 W,EC_0402,SMD SOLDERI;47;1%;;;A2C04594900;A2C0459490000;A2C0459490000;A2C0459490000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22074; .cmp1492;;R LIN,47.0 ohm,1.0 %,100.0 ppm/K,0.063 W,EC_0402,SMD SOLDERI;47;1%;;;A2C04594900;A2C0459490000;A2C0459490000;A2C0459490000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22075; .cmp1292;;R LIN,1K,0.5%,TK100,400mW,0805,SMD SOLDERING;1k;0.5%;;;A2C03319200;A2C0331920000;A2C0331920000;A2C0331920000;0805_075_m01a;;;;;;;;COM_ETH_AFE_1000BASET1;
R22076; .cmp1290;;R LIN,100K,1%,TK100,63mW,0402,SMD SOLDERING;100k;1%;;;A2C04219500;A2C0421950000;A2C0421950000;A2C0421950000;0402_04_m01a;;;;;;;;COM_ETH_AFE_1000BASET1;
R22077; .cmp1493;;R LIN,22.0 ohm,5.0 %,200.0 ppm/K,0.063 W,EC_0402,SMD SOLDERI;22;5%;;;A2C04595100;A2C0459510000;A2C0459510000;A2C0459510000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
R22078; .cmp1494;;R LIN,22.0 ohm,5.0 %,200.0 ppm/K,0.063 W,EC_0402,SMD SOLDERI;22;5%;;;A2C04595100;A2C0459510000;A2C0459510000;A2C0459510000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
R22079; .cmp1495;;R LIN,22.0 ohm,5.0 %,200.0 ppm/K,0.063 W,EC_0402,SMD SOLDERI;22;5%;;;A2C04595100;A2C0459510000;A2C0459510000;A2C0459510000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
R22085; .cmp899;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;MEM_FLASH_NOR_16Mbit;
R22092; .cmp1233;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22093; .cmp1231;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22095; .cmp1235;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22096; .cmp1234;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22097; .cmp1237;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22098; .cmp1236;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22110; .cmp1400;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22111; .cmp1403;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22112; .cmp1415;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22113; .cmp1559;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22114; .cmp1562;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22303; .cmp1531;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22304; .cmp1532;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22305; .cmp1533;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22306; .cmp1607;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;Samtec;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22307; .cmp1608;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;Samtec;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22308; .cmp1540;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22309; .cmp1541;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22310; .cmp1610;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22311; .cmp1611;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22312; .cmp1612;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22313; .cmp1613;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22314; .cmp1614;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22315; .cmp1615;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22316; .cmp1616;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22317; .cmp1626;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R22318; .cmp1627;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
R30000; .cmp597;;R LIN,1K,1%,TK100,400mW,0805,SMD SOLDERING;1k;1%;;;A2C03016000;A2C0301600000;A2C0301600000;A2C0301600000;0805_075_m01a;;;;;;;;COM_ETH_AFE_100BASET1_06;
R30003; .cmp604;;R LIN,1K,1%,TK100,400mW,0805,SMD SOLDERING;1k;1%;;;A2C03016000;A2C0301600000;A2C0301600000;A2C0301600000;0805_075_m01a;;;;;;;;COM_ETH_AFE_100BASET1_06;
R30004; .cmp605;;R LIN,100K,1%,TK100,63mW,0402,SMD SOLDERING;100k;1%;;;A2C04219500;A2C0421950000;A2C0421950000;A2C0421950000;0402_04_m01a;;;;;;;;COM_ETH_AFE_100BASET1_06;
R30013; .cmp410;;R LIN,1K,1%,TK100,400mW,0805,SMD SOLDERING;1k;1%;;;A2C03016000;A2C0301600000;A2C0301600000;A2C0301600000;0805_075_m01a;;;;;;;;COM_ETH_AFE_100BASET1_05;
R30015; .cmp412;;R LIN,1K,1%,TK100,400mW,0805,SMD SOLDERING;1k;1%;;;A2C03016000;A2C0301600000;A2C0301600000;A2C0301600000;0805_075_m01a;;;;;;;;COM_ETH_AFE_100BASET1_05;
R30016; .cmp401;;R LIN,100K,1%,TK100,63mW,0402,SMD SOLDERING;100k;1%;;;A2C04219500;A2C0421950000;A2C0421950000;A2C0421950000;0402_04_m01a;;;;;;;;COM_ETH_AFE_100BASET1_05;
R30019; .cmp436;;R LIN,1K,1%,TK100,400mW,0805,SMD SOLDERING;1k;1%;;;A2C03016000;A2C0301600000;A2C0301600000;A2C0301600000;0805_075_m01a;;;;;;;;COM_ETH_AFE_100BASET1_07;
R30020; .cmp438;;R LIN,1K,1%,TK100,400mW,0805,SMD SOLDERING;1k;1%;;;A2C03016000;A2C0301600000;A2C0301600000;A2C0301600000;0805_075_m01a;;;;;;;;COM_ETH_AFE_100BASET1_07;
R30021; .cmp427;;R LIN,100K,1%,TK100,63mW,0402,SMD SOLDERING;100k;1%;;;A2C04219500;A2C0421950000;A2C0421950000;A2C0421950000;0402_04_m01a;;;;;;;;COM_ETH_AFE_100BASET1_07;
R41000; .cmp2251;;R LIN,18 ohm,1 %,100 ppm/K,0.063 W,EC_0402,SMD SOLDERING;18;1%;;;AAA2123610000;AAA2123610000;AAA2123610000;AAA2123610000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
R41001; .cmp2289;;R LIN,18 ohm,1 %,100 ppm/K,0.063 W,EC_0402,SMD SOLDERING;18;1%;;;AAA2123610000;AAA2123610000;AAA2123610000;AAA2123610000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
R41002; .cmp2314;;R LIN,18 ohm,1 %,100 ppm/K,0.063 W,EC_0402,SMD SOLDERING;18;1%;;;AAA2123610000;AAA2123610000;AAA2123610000;AAA2123610000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
R41003; .cmp2311;;R LIN,18 ohm,1 %,100 ppm/K,0.063 W,EC_0402,SMD SOLDERING;18;1%;;;AAA2123610000;AAA2123610000;AAA2123610000;AAA2123610000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
R41004; .cmp1589;;R JUMP,0.05 ohm,0 W,1.0 A,EC_0402,SMD SOLDERING;50m;;;;A2C04224200;A2C0422420000;A2C0422420000;A2C0422420000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41005; .cmp2051;;R LIN,10K,0.1%,TK25,63mW,0402,SMD SOLDERING;10k;0.1%;;;A2C04112500;A2C0411250000;A2C0411250000;A2C0411250000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41006; .cmp1191;;R LIN,100K,1%,TK100,63mW,0402,SMD SOLDERING;100k;1%;;;A2C04219500;A2C0421950000;A2C0421950000;A2C0421950000;0402_04_m01a;;;;;;;;DI_PUSHPULL_AND3X3_01;
R41007; .cmp2254;;R LIN,18 ohm,1 %,100 ppm/K,0.063 W,EC_0402,SMD SOLDERING;18;1%;;;AAA2123610000;AAA2123610000;AAA2123610000;AAA2123610000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
R41008; .cmp2005;;R LIN,100K,1%,TK100,63mW,0402,SMD SOLDERING;100k;1%;;;A2C04219500;A2C0421950000;A2C0421950000;A2C0421950000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41009; .cmp2259;;R LIN,18 ohm,1 %,100 ppm/K,0.063 W,EC_0402,SMD SOLDERING;18;1%;;;AAA2123610000;AAA2123610000;AAA2123610000;AAA2123610000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
R41010; .cmp1852;;R LIN,100K,1%,TK100,63mW,0402,SMD SOLDERING;100k;1%;;;A2C04219500;A2C0421950000;A2C0421950000;A2C0421950000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41011; .cmp1853;;R LIN,100K,1%,TK100,63mW,0402,SMD SOLDERING;100k;1%;;;A2C04219500;A2C0421950000;A2C0421950000;A2C0421950000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41012; .cmp1644;;R LIN,100K,1%,TK100,63mW,0402,SMD SOLDERING;100k;1%;;;A2C04219500;A2C0421950000;A2C0421950000;A2C0421950000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41013; .cmp1645;;R LIN,100K,1%,TK100,63mW,0402,SMD SOLDERING;100k;1%;;;A2C04219500;A2C0421950000;A2C0421950000;A2C0421950000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41017; .cmp3040;;R LIN,22.0 ohm,5.0 %,200.0 ppm/K,0.063 W,EC_0402,SMD SOLDERI;22;5%;;;A2C04595100;A2C0459510000;A2C0459510000;A2C0459510000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
R41020; .cmp3036;;R LIN,39.0 ohm,1.0 %,100.0 ppm/K,0.063 W,EC_0402,SMD SOLDERI;39;1%;;;A2C04603100;A2C0460310000;A2C0460310000;A2C0460310000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
R41022; .cmp1068;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;MEM_EMMC_NAND_8GBYTE;
R41023; .cmp2041;;R LIN,100K,1%,TK100,63mW,0402,SMD SOLDERING;100k;1%;;;A2C04219500;A2C0421950000;A2C0421950000;A2C0421950000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41025; .cmp1185;;R LIN,47K,1%,TK100,63mW,0402,SMD SOLDERING;47k;1%;;;A2C04219800;A2C0421980000;A2C0421980000;A2C0421980000;0402_04_m01a;;;;;;;;MEM_EMMC_NAND_8GBYTE;
R41026; .cmp1196;;R LIN,47K,1%,TK100,63mW,0402,SMD SOLDERING;47k;1%;;;A2C04219800;A2C0421980000;A2C0421980000;A2C0421980000;0402_04_m01a;;;;;;;;MEM_EMMC_NAND_8GBYTE;
R41027; .cmp1157;;R LIN,47K,1%,TK100,63mW,0402,SMD SOLDERING;47k;1%;;;A2C04219800;A2C0421980000;A2C0421980000;A2C0421980000;0402_04_m01a;;;;;;;;MEM_EMMC_NAND_8GBYTE;
R41029; .cmp1864;;R LIN,120R,1%,TK100,63mW,0402;120;1%;;;A2C02363400;A2C0236340000;A2C0236340000;A2C0236340000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41030; .cmp1771;;R LIN,4K7,1%,TK100,63mW,0402,SMD SOLDERING;4.7k;1%;;;A2C04219900;A2C0421990000;A2C0421990000;A2C0421990000;0402_04_m01a;;;;;;;;MEM_FLASH_OSPINOR_128Mbit;
R41033; .cmp1995;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41034; .cmp1998;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41035; .cmp1996;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41036; .cmp1997;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41037; .cmp1459;;R LIN,10K,1%,TK100,63mW,0402,SMD SOLDERING;10k;1%;;;A2C04219600;A2C0421960000;A2C0421960000;A2C0421960000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41038; .cmp1448;;R LIN,3300.0 ohm,1.0 %,100.0 ppm/K,0.063 W,EC_0402,SMD SOLDE;3.3k;1%;;;A2C04594800;A2C0459480000;A2C0459480000;A2C0459480000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41040; .cmp1455;;R LIN,3300.0 ohm,1.0 %,100.0 ppm/K,0.063 W,EC_0402,SMD SOLDE;3.3k;1%;;;A2C04594800;A2C0459480000;A2C0459480000;A2C0459480000;0402_04_m01a;SMH_BMode;;;;;;;IC_SUC_S32G275A;
R41042; .cmp1457;;R LIN,3300.0 ohm,1.0 %,100.0 ppm/K,0.063 W,EC_0402,SMD SOLDE;3.3k;1%;;;A2C04594800;A2C0459480000;A2C0459480000;A2C0459480000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;
R41044; .cmp2436;;R LIN,200.0 ohm,1.0 %,100.0 ppm/K,0.063 W,EC_0402,SMD SOLDER;200;1%;;;A2C04629700;A2C0462970000;A2C0462970000;A2C0462970000;0402_04_m01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
